Job_Type,Data_Size,Actual_Runtime
Flask_Sort,8327,35.08511809434376
MapReduce_WordCount,5783,3.5787853895130857
Flask_Sort,6155,19.311583178801783
ML_Train,8273,9.713768847435324
MapReduce_WordCount,250,0.35390268593862734
ML_Train,4572,5.461365344325396
MapReduce_WordCount,3317,2.1569441095279953
ML_Train,2766,3.326244581691722
MapReduce_WordCount,5152,3.2026473310629884
MapReduce_WordCount,2172,1.3111628389532117
MapReduce_WordCount,7658,4.567204342078351
MapReduce_WordCount,8949,4.842798320488771
ML_Train,4026,5.088975063281085
MapReduce_WordCount,6093,3.4811925593204576
MapReduce_WordCount,1514,1.255545540546023
MapReduce_WordCount,7759,4.250064990216148
ML_Train,9228,10.69012280917724
MapReduce_WordCount,5793,3.373025725173142
MapReduce_WordCount,1172,0.885596441906163
ML_Train,2183,3.174095329147393
ML_Train,8565,9.282888211940046
MapReduce_WordCount,4689,2.9277982758213574
Flask_Sort,6537,21.524119540352157
MapReduce_WordCount,1657,1.6125150023255885
MapReduce_WordCount,7371,4.121734824645801
Flask_Sort,9026,41.12443143961928
ML_Train,2220,2.9881777469293507
Flask_Sort,5442,14.932597194394527
MapReduce_WordCount,7313,3.9501073912891433
Flask_Sort,7198,26.377891210009675
Flask_Sort,9413,44.662778713416905
Flask_Sort,3923,8.169482591285963
Flask_Sort,970,0.9339017008000454
ML_Train,3605,4.91648392064788
MapReduce_WordCount,9187,4.976342892672134
ML_Train,2281,3.3345305581990026
MapReduce_WordCount,5615,3.413825335199912
ML_Train,1962,2.81531769489999
ML_Train,8775,9.947970429588327
ML_Train,8256,9.117860809380014
ML_Train,4164,4.670991164687244
Flask_Sort,7886,31.43340966500894
MapReduce_WordCount,233,0.685145215158445
MapReduce_WordCount,953,1.05658424408373
Flask_Sort,2692,3.932336042122083
Flask_Sort,6401,20.973201096006044
Flask_Sort,7609,29.190762952753914
MapReduce_WordCount,1649,1.1370813999969063
Flask_Sort,4156,8.75155738616789
MapReduce_WordCount,7834,4.202485676826227
MapReduce_WordCount,5203,3.317205676816812
MapReduce_WordCount,7545,3.9738449176176402
ML_Train,2717,4.02348513431757
Flask_Sort,4067,8.53390277076153
ML_Train,445,1.0855125768492198
Flask_Sort,4052,8.38596293911088
ML_Train,2122,3.2362172870746098
MapReduce_WordCount,9997,5.5614985360339215
ML_Train,7525,8.62138049250514
MapReduce_WordCount,9425,5.099054358342676
Flask_Sort,4490,10.248891079181641
MapReduce_WordCount,6278,3.8625665905887345
Flask_Sort,5782,17.0548888327213
MapReduce_WordCount,4875,2.8676730874539675
ML_Train,4661,5.309883101146988
ML_Train,2347,2.9732366150807046
Flask_Sort,8201,33.95250181293643
MapReduce_WordCount,4124,2.6819395782790805
MapReduce_WordCount,7579,4.297239286582222
Flask_Sort,9890,49.21593086030024
MapReduce_WordCount,5521,3.0087088702814815
Flask_Sort,9728,47.46664465794143
ML_Train,4423,5.128149704138247
MapReduce_WordCount,499,1.0441766616324768
